(U 5, V 3): (RMSE 0.906369307879, MAE 0.699448327637)
(U 5, V 4): (RMSE 0.904577642698, MAE 0.698360333252)
(U 5, V 5): (RMSE 0.902943189015, MAE 0.696999032593)
(U 5, V 6): (RMSE 0.902490043268, MAE 0.696117193604)
(U 5, V 7): (RMSE 0.901876003294, MAE 0.6952818573)
(U 5, V 8): (RMSE 0.899298889036, MAE 0.694409277344)
(U 5, V 9): (RMSE 0.900975726716, MAE 0.69501585083)
(U 5, V 10): (RMSE 0.900179013569, MAE 0.693692303467)
(U 5, V 11): (RMSE 0.900203334303, MAE 0.693865045166)
(U 5, V 12): (RMSE 0.89946446062, MAE 0.693849151611)
(U 5, V 13): (RMSE 0.898544968097, MAE 0.692656500244)
(U 5, V 14): (RMSE 0.898896414724, MAE 0.693802752686)
(U 5, V 15): (RMSE 0.899353385066, MAE 0.693801403809)
(U 5, V 16): (RMSE 0.898348789778, MAE 0.69385206604)
(U 5, V 17): (RMSE 0.897748825731, MAE 0.692366275024)
(U 5, V 18): (RMSE 0.898263578614, MAE 0.693033828735)
(U 5, V 19): (RMSE 0.897722358042, MAE 0.692840783691)
(U 5, V 20): (RMSE 0.898083442465, MAE 0.692961685181)
(U 6, V 1): (RMSE 0.926031817687, MAE 0.714375314331)
(U 6, V 2): (RMSE 0.910711380128, MAE 0.701736206055)
(U 6, V 3): (RMSE 0.906103944992, MAE 0.698451333618)
(U 6, V 4): (RMSE 0.905595466759, MAE 0.698554382324)
(U 6, V 5): (RMSE 0.9021465626, MAE 0.696537646484)
(U 6, V 6): (RMSE 0.90110762023, MAE 0.695565930176)
(U 6, V 7): (RMSE 0.901361933727, MAE 0.694996444702)
(U 6, V 8): (RMSE 0.901031511677, MAE 0.695367074585)
(U 6, V 9): (RMSE 0.900436346453, MAE 0.695468081665)
(U 6, V 10): (RMSE 0.899037284511, MAE 0.69405675354)
(U 6, V 11): (RMSE 0.899140955923, MAE 0.693949417114)
(U 6, V 12): (RMSE 0.898476062352, MAE 0.693485147095)
(U 6, V 13): (RMSE 0.898368253106, MAE 0.693076815796)
(U 6, V 14): (RMSE 0.898810803899, MAE 0.69374593811)
(U 6, V 15): (RMSE 0.898893148724, MAE 0.692963601685)
(U 6, V 16): (RMSE 0.897915984848, MAE 0.692804272461)
(U 6, V 17): (RMSE 0.898001235791, MAE 0.693260522461)
(U 6, V 18): (RMSE 0.897449614829, MAE 0.692975561523)
(U 6, V 19): (RMSE 0.897081449453, MAE 0.692216732788)
(U 6, V 20): (RMSE 0.897587549726, MAE 0.692442279053)
(U 7, V 1): (RMSE 0.922533608421, MAE 0.712353707886)
(U 7, V 2): (RMSE 0.91004151805, MAE 0.701676654053)
(U 7, V 3): (RMSE 0.906354481114, MAE 0.699763360596)
(U 7, V 4): (RMSE 0.902973402136, MAE 0.696336581421)
(U 7, V 5): (RMSE 0.902099158544, MAE 0.695962072754)
(U 7, V 6): (RMSE 0.900111470419, MAE 0.695008236694)
(U 7, V 7): (RMSE 0.900436010922, MAE 0.694342028809)
(U 7, V 8): (RMSE 0.899960009216, MAE 0.694116818237)
(U 7, V 9): (RMSE 0.899168123439, MAE 0.693193087769)
(U 7, V 10): (RMSE 0.89991846351, MAE 0.693881066895)
(U 7, V 11): (RMSE 0.898289780655, MAE 0.693622052002)
(U 7, V 12): (RMSE 0.898625644363, MAE 0.693630270386)
(U 7, V 13): (RMSE 0.898113746015, MAE 0.692414523315)
(U 7, V 14): (RMSE 0.897370905611, MAE 0.69311842041)
(U 7, V 15): (RMSE 0.897554895959, MAE 0.692279034424)
(U 7, V 16): (RMSE 0.897504792692, MAE 0.692496218872)
(U 7, V 17): (RMSE 0.896869334559, MAE 0.691843002319)
(U 7, V 18): (RMSE 0.897341451003, MAE 0.692033013916)
(U 7, V 19): (RMSE 0.897071975185, MAE 0.692815985107)
(U 7, V 20): (RMSE 0.897109890368, MAE 0.692437115479)
(U 8, V 1): (RMSE 0.92294352799, MAE 0.711944464111)
(U 8, V 2): (RMSE 0.907996169296, MAE 0.701559890747)
(U 8, V 3): (RMSE 0.90467450606, MAE 0.697812283325)
(U 8, V 4): (RMSE 0.902136429444, MAE 0.695857351685)
(U 8, V 5): (RMSE 0.902483266744, MAE 0.696009136963)
(U 8, V 6): (RMSE 0.899848199546, MAE 0.693741647339)
(U 8, V 7): (RMSE 0.901095020021, MAE 0.695029443359)
(U 8, V 8): (RMSE 0.90007123199, MAE 0.69445402832)
(U 8, V 9): (RMSE 0.899219444029, MAE 0.693904437256)
(U 8, V 10): (RMSE 0.89768969898, MAE 0.692943942261)
(U 8, V 11): (RMSE 0.897513968271, MAE 0.692031152344)
(U 8, V 12): (RMSE 0.898066064524, MAE 0.693099133301)
(U 8, V 13): (RMSE 0.897760548295, MAE 0.692476644897)
(U 8, V 14): (RMSE 0.898330606753, MAE 0.692998138428)
(U 8, V 15): (RMSE 0.898316569647, MAE 0.692141818237)
(U 8, V 16): (RMSE 0.897594696405, MAE 0.691796624756)
(U 8, V 17): (RMSE 0.896857857251, MAE 0.691999258423)
(U 8, V 18): (RMSE 0.896953199852, MAE 0.69213421936)
(U 8, V 19): (RMSE 0.896156962951, MAE 0.691186172485)
(U 8, V 20): (RMSE 0.897196658416, MAE 0.692333157349)
(U 9, V 1): (RMSE 0.920860922652, MAE 0.710218313599)
(U 9, V 2): (RMSE 0.909064294335, MAE 0.702271020508)
(U 9, V 3): (RMSE 0.903965522109, MAE 0.697296911621)
(U 9, V 4): (RMSE 0.902487431066, MAE 0.696706134033)
(U 9, V 5): (RMSE 0.900939466333, MAE 0.695445843506)
(U 9, V 6): (RMSE 0.899695859594, MAE 0.693332611084)
(U 9, V 7): (RMSE 0.900147472591, MAE 0.695037103271)
(U 9, V 8): (RMSE 0.899392593562, MAE 0.694005917358)
(U 9, V 9): (RMSE 0.898752505918, MAE 0.693773553467)
(U 9, V 10): (RMSE 0.898320211434, MAE 0.692963653564)
(U 9, V 11): (RMSE 0.898608022201, MAE 0.693175567627)
(U 9, V 12): (RMSE 0.898810080694, MAE 0.693314065552)
(U 9, V 13): (RMSE 0.897797389157, MAE 0.69242583313)
(U 9, V 14): (RMSE 0.897647988702, MAE 0.69309185791)
(U 9, V 15): (RMSE 0.897158200946, MAE 0.692014935303)
(U 9, V 16): (RMSE 0.89709883286, MAE 0.692015106201)
(U 9, V 17): (RMSE 0.897509213031, MAE 0.692889807129)
(U 9, V 18): (RMSE 0.896264152894, MAE 0.691723864746)
(U 9, V 19): (RMSE 0.896982815207, MAE 0.692123498535)
(U 9, V 20): (RMSE 0.896176387046, MAE 0.691279745483)
(U 10, V 1): (RMSE 0.921133330164, MAE 0.709952505493)
(U 10, V 2): (RMSE 0.907918288667, MAE 0.700525531006)
(U 10, V 3): (RMSE 0.903620341222, MAE 0.697303250122)
(U 10, V 4): (RMSE 0.902161055978, MAE 0.695968087769)
(U 10, V 5): (RMSE 0.901793736255, MAE 0.695728405762)
(U 10, V 6): (RMSE 0.900367993886, MAE 0.694226931763)
(U 10, V 7): (RMSE 0.900003238248, MAE 0.694181008911)
(U 10, V 8): (RMSE 0.898810710528, MAE 0.693459747314)
(U 10, V 9): (RMSE 0.898198262985, MAE 0.692626272583)
(U 10, V 10): (RMSE 0.898332220394, MAE 0.693363970947)
(U 10, V 11): (RMSE 0.897560473772, MAE 0.692872125244)
(U 10, V 12): (RMSE 0.898102986299, MAE 0.693239157104)
(U 10, V 13): (RMSE 0.898174010276, MAE 0.692770803833)
(U 10, V 14): (RMSE 0.897451141643, MAE 0.692006536865)
(U 10, V 15): (RMSE 0.897009343842, MAE 0.692072930908)
(U 10, V 16): (RMSE 0.896461068256, MAE 0.692462115479)
(U 10, V 17): (RMSE 0.896073629351, MAE 0.69148694458)
(U 10, V 18): (RMSE 0.896047977253, MAE 0.691518469238)
(U 10, V 19): (RMSE 0.896220668595, MAE 0.691382791138)
(U 10, V 20): (RMSE 0.89598060294, MAE 0.690961331177)
(U 11, V 1): (RMSE 0.918098242196, MAE 0.708286282349)
(U 11, V 2): (RMSE 0.906936123955, MAE 0.699098019409)
(U 11, V 3): (RMSE 0.903414713817, MAE 0.697265942383)
(U 11, V 4): (RMSE 0.902525103529, MAE 0.696181481934)
(U 11, V 5): (RMSE 0.900825809961, MAE 0.69514979248)
(U 11, V 6): (RMSE 0.899809002425, MAE 0.694263427734)
(U 11, V 7): (RMSE 0.899831040523, MAE 0.694386560059)
(U 11, V 8): (RMSE 0.897953857596, MAE 0.693135775757)
(U 11, V 9): (RMSE 0.898964010127, MAE 0.693382797241)
(U 11, V 10): (RMSE 0.898243635674, MAE 0.692397955322)
(U 11, V 11): (RMSE 0.897741663283, MAE 0.692487561035)
(U 11, V 12): (RMSE 0.89752422502, MAE 0.692311627197)
(U 11, V 13): (RMSE 0.897245979596, MAE 0.691663671875)
(U 11, V 14): (RMSE 0.896825500186, MAE 0.691995599365)
(U 11, V 15): (RMSE 0.896910412451, MAE 0.692430865479)
(U 11, V 16): (RMSE 0.896511498773, MAE 0.691157879639)
(U 11, V 17): (RMSE 0.896850000332, MAE 0.691838497925)
(U 11, V 18): (RMSE 0.896456399346, MAE 0.691346865845)
(U 11, V 19): (RMSE 0.896247994435, MAE 0.691197317505)
(U 11, V 20): (RMSE 0.895960151059, MAE 0.691037402344)
(U 12, V 1): (RMSE 0.914080097988, MAE 0.70453164978)
(U 12, V 2): (RMSE 0.905990293135, MAE 0.700168777466)
(U 12, V 3): (RMSE 0.904377579755, MAE 0.697816940308)
(U 12, V 4): (RMSE 0.901275053695, MAE 0.695464193726)
(U 12, V 5): (RMSE 0.900407388673, MAE 0.694746774292)
(U 12, V 6): (RMSE 0.899708706658, MAE 0.694267880249)
(U 12, V 7): (RMSE 0.899997723047, MAE 0.694546463013)
(U 12, V 8): (RMSE 0.899280368898, MAE 0.693360031128)
(U 12, V 9): (RMSE 0.898869420634, MAE 0.693589004517)
(U 12, V 10): (RMSE 0.897078892941, MAE 0.692540884399)
(U 12, V 11): (RMSE 0.897544297849, MAE 0.692157495117)
(U 12, V 12): (RMSE 0.896946320253, MAE 0.692182302856)
(U 12, V 13): (RMSE 0.896813161386, MAE 0.692232556152)
(U 12, V 14): (RMSE 0.896974546005, MAE 0.692116790771)
(U 12, V 15): (RMSE 0.896779046751, MAE 0.691229067993)
(U 12, V 16): (RMSE 0.89570139078, MAE 0.690993255615)
(U 12, V 17): (RMSE 0.896160720784, MAE 0.69102935791)
(U 12, V 18): (RMSE 0.895366671163, MAE 0.690733938599)
(U 12, V 19): (RMSE 0.895676876251, MAE 0.690773208618)
(U 12, V 20): (RMSE 0.895274564941, MAE 0.69148644104)
(U 13, V 1): (RMSE 0.917420314894, MAE 0.708036691284)
(U 13, V 2): (RMSE 0.905608070063, MAE 0.698978842163)
(U 13, V 3): (RMSE 0.903242853943, MAE 0.69674730835)
(U 13, V 4): (RMSE 0.901499596687, MAE 0.695102639771)
(U 13, V 5): (RMSE 0.899761515915, MAE 0.694162493896)
(U 13, V 6): (RMSE 0.900058734249, MAE 0.694695645142)
(U 13, V 7): (RMSE 0.899450693981, MAE 0.693802047729)
(U 13, V 8): (RMSE 0.898418124791, MAE 0.693752783203)
(U 13, V 9): (RMSE 0.89729560416, MAE 0.692978051758)
(U 13, V 10): (RMSE 0.897886364584, MAE 0.69221194458)
(U 13, V 11): (RMSE 0.897716483782, MAE 0.692539752197)
(U 13, V 12): (RMSE 0.898041485412, MAE 0.693096011353)
(U 13, V 13): (RMSE 0.896760830195, MAE 0.69239095459)
(U 13, V 14): (RMSE 0.89709970032, MAE 0.691863006592)
(U 13, V 15): (RMSE 0.897119143123, MAE 0.691913970947)
(U 13, V 16): (RMSE 0.896160685027, MAE 0.691286373901)
(U 13, V 17): (RMSE 0.896198441261, MAE 0.691418014526)
(U 13, V 18): (RMSE 0.895761582262, MAE 0.690971643066)
(U 13, V 19): (RMSE 0.896023845151, MAE 0.691325698853)
(U 13, V 20): (RMSE 0.895610065216, MAE 0.690705096436)
(U 14, V 1): (RMSE 0.912553841453, MAE 0.703876092529)
(U 14, V 2): (RMSE 0.905290696471, MAE 0.698216555786)
